序号,省类型,省,适宜性均值
1,直辖市,北京市,0.5424
2,直辖市,天津市,0.6552
3,省,河北省,0.43
4,省,山西省,0.4027
5,自治区,内蒙古自治区,0.0929
6,省,辽宁省,0.425
7,省,吉林省,0.3528
8,省,黑龙江省,0.1798
9,直辖市,上海市,0.5678
10,省,浙江省,0.5739
11,省,安徽省,0.5006
12,省,福建省,0.4281
13,省,江西省,0.3635
14,省,山东省,0.4778
15,省,河南省,0.4042
16,省,湖北省,0.4521
17,省,湖南省,0.4042
18,省,广东省,0.3552
19,自治区,广西壮族自治区,0.2628
20,省,海南省,0.3809
21,直辖市,重庆市,0.4589
22,省,四川省,0.2246
23,省,贵州省,0.4011
24,省,云南省,0.2488
25,自治区,西藏自治区,0.061
26,省,陕西省,0.3789
27,省,甘肃省,0.1686
28,省,青海省,0.0556
29,自治区,宁夏回族自治区,0.2878
30,自治区,新疆维吾尔自治区,0.0615
31,省,台湾省,0.3087
32,特别行政区,香港特别行政区,0.2832
33,特别行政区,澳门特别行政区,0.3242
34,省,江苏省,0.5654
