序号,省类型,省,适宜性均值
1,直辖市,北京市,0.4882
2,直辖市,天津市,0.5997
3,省,河北省,0.4094
4,省,山西省,0.3834
5,自治区,内蒙古自治区,0.1142
6,省,辽宁省,0.3965
7,省,吉林省,0.3067
8,省,黑龙江省,0.1995
9,直辖市,上海市,0.5166
10,省,浙江省,0.4792
11,省,安徽省,0.4849
12,省,福建省,0.3392
13,省,江西省,0.345
14,省,山东省,0.4997
15,省,河南省,0.4315
16,省,湖北省,0.443
17,省,湖南省,0.3912
18,省,广东省,0.3751
19,自治区,广西壮族自治区,0.3541
20,省,海南省,0.3381
21,直辖市,重庆市,0.4494
22,省,四川省,0.2423
23,省,贵州省,0.4096
24,省,云南省,0.2608
25,自治区,西藏自治区,0.0476
26,省,陕西省,0.3595
27,省,甘肃省,0.1572
28,省,青海省,0.0424
29,自治区,宁夏回族自治区,0.2971
30,自治区,新疆维吾尔自治区,0.0576
31,省,台湾省,0.1918
32,特别行政区,香港特别行政区,0.272
33,特别行政区,澳门特别行政区,0.2132
34,省,江苏省,0.5369
